#
#  Mapping of v3 names to v4 names
#
#  This file is used by the upgrade tool.
#
3Com-Connect_Id                         	Vendor-Specific.3com.Connect_Id
3Com-Encryption-Type                    	Vendor-Specific.3com.Encryption-Type
3Com-End-Date                           	Vendor-Specific.3com.End-Date
3Com-Ip-Host-Addr                       	Vendor-Specific.3com.Ip-Host-Addr
3Com-Mobility-Profile                   	Vendor-Specific.3com.Mobility-Profile
3Com-NAS-Startup-Timestamp              	Vendor-Specific.3com.NAS-Startup-Timestamp
3Com-Product-ID                         	Vendor-Specific.3com.Product-ID
3Com-SSID                               	Vendor-Specific.3com.SSID
3Com-Time-Of-Day                        	Vendor-Specific.3com.Time-Of-Day
3Com-URL                                	Vendor-Specific.3com.URL
3Com-User-Access-Level                  	Vendor-Specific.3com.User-Access-Level
3Com-VLAN-Name                          	Vendor-Specific.3com.VLAN-Name
3GPP-Allocate-IP-Type                   	Vendor-Specific.3GPP.Allocate-IP-Type
3GPP-Camel-Charging-Info                	Vendor-Specific.3GPP.CAMEL-Charging-Info
3GPP-Charging-Characteristics           	Vendor-Specific.3GPP.Charging-Characteristics
3GPP-Charging-Gateway-Address           	Vendor-Specific.3GPP.CG-Address
3GPP-Charging-Gateway-IPv6-Address      	Vendor-Specific.3GPP.CG-IPv6-Address
3GPP-Charging-ID                        	Vendor-Specific.3GPP.Charging-ID
3GPP-GGSN-Address                       	Vendor-Specific.3GPP.GGSN-Address
3GPP-GGSN-IPv6-Address                  	Vendor-Specific.3GPP.GGSN-IPv6-Address
3GPP-GGSN-MCC-MNC                       	Vendor-Specific.3GPP.GGSN-MCC-MNC
3GPP-GPRS-Negotiated-QoS-profile        	Vendor-Specific.3GPP.GPRS-Negotiated-QoS-profile
3GPP-IMEISV                             	Vendor-Specific.3GPP.IMEISV
3GPP-IMSI                               	Vendor-Specific.3GPP.IMSI
3GPP-IMSI-MCC-MNC                       	Vendor-Specific.3GPP.IMSI-MCC-MNC
3GPP-IPv6-DNS-Servers                   	Vendor-Specific.3GPP.IPv6-DNS-Servers
3GPP-NSAPI                              	Vendor-Specific.3GPP.NSAPI
3GPP-Negotiated-DSCP                    	Vendor-Specific.3GPP.Negotiated-DSCP
3GPP-PDP-Type                           	Vendor-Specific.3GPP.PDP-Type
3GPP-RAT-Type                           	Vendor-Specific.3GPP.RAT-Type
3GPP-SGSN-Address                       	Vendor-Specific.3GPP.SGSN-Address
3GPP-SGSN-IPv6-Address                  	Vendor-Specific.3GPP.SGSN-IPv6-Address
3GPP-SGSN-MCC-MNC                       	Vendor-Specific.3GPP.SGSN-MCC-MNC
3GPP-Selection-Mode                     	Vendor-Specific.3GPP.Selection-Mode
3GPP-Session-Stop-Indicator             	Vendor-Specific.3GPP.Session-Stop-Indicator
3GPP-Teardown-Indicator                 	Vendor-Specific.3GPP.Teardown-Indicator
3GPP2-Accounting-Container              	Vendor-Specific.3GPP2.Accounting-Container
3GPP2-Acct-Stop-Trigger                 	Vendor-Specific.3GPP2.Acct-Stop-Trigger
3GPP2-Active-Time                       	Vendor-Specific.3GPP2.Active-Time
3GPP2-Airlink-Priority                  	Vendor-Specific.3GPP2.Airlink-Priority
3GPP2-Airlink-Record-Type               	Vendor-Specific.3GPP2.Airlink-Record-Type
3GPP2-Airlink-Sequence-Number           	Vendor-Specific.3GPP2.Airlink-Sequence-Number
3GPP2-Allowed-Diffserv-Marking-Allowed  	Vendor-Specific.3GPP2.Allowed-Diffserv-Marking.Allowed
3GPP2-Allowed-Diffserv-Marking-Max-Class	Vendor-Specific.3GPP2.Allowed-Diffserv-Marking.Max-Class
3GPP2-Allowed-Diffserv-Marking-Reverse-Runnel	Vendor-Specific.3GPP2.Allowed-Diffserv-Marking.Reverse-Runnel
3GPP2-Allowed-Persistent-TFTs           	Vendor-Specific.3GPP2.Allowed-Persistent-TFTs
3GPP2-BSID                              	Vendor-Specific.3GPP2.BSID
3GPP2-Bad-PPP-Frame-Count               	Vendor-Specific.3GPP2.Bad-PPP-Frame-Count
3GPP2-Begin-Session                     	Vendor-Specific.3GPP2.Begin-Session
3GPP2-Carrier-ID                        	Vendor-Specific.3GPP2.Carrier-ID
3GPP2-Compulsory-Tunnel-Indicator       	Vendor-Specific.3GPP2.Compulsory-Tunnel-Indicator
3GPP2-Correlation-Id                    	Vendor-Specific.3GPP2.Correlation-Id
3GPP2-DCCH-Frame-Size                   	Vendor-Specific.3GPP2.DCCH-Frame-Size
3GPP2-DNS-Server-Entity-Type            	Vendor-Specific.3GPP2.DNS-Server.Entity-Type
3GPP2-DNS-Server-Flag                   	Vendor-Specific.3GPP2.DNS-Server.Flag
3GPP2-DNS-Server-Primary-IP-Address     	Vendor-Specific.3GPP2.DNS-Server.Primary-IP-Address
3GPP2-DNS-Server-Secondary-IP-Address   	Vendor-Specific.3GPP2.DNS-Server.Secondary-IP-Address
3GPP2-DNS-Update-Capability             	Vendor-Specific.3GPP2.DNS-Update-Capability
3GPP2-DNS-Update-Required               	Vendor-Specific.3GPP2.DNS-Update-Required
3GPP2-Diffserv-Class-Option             	Vendor-Specific.3GPP2.Diffserv-Class-Option
3GPP2-Disconnect-Reason                 	Vendor-Specific.3GPP2.Disconnect-Reason
3GPP2-ESN                               	Vendor-Specific.3GPP2.ESN
3GPP2-FCH-Frame-Size                    	Vendor-Specific.3GPP2.FCH-Frame-Size
3GPP2-Foreign-Agent-Address             	Vendor-Specific.3GPP2.Foreign-Agent-Address
3GPP2-Forward-DCCH-Mux-Option           	Vendor-Specific.3GPP2.Forward-DCCH-Mux-Option
3GPP2-Forward-DCCH-RC                   	Vendor-Specific.3GPP2.Forward-DCCH-RC
3GPP2-Forward-FCH-Mux-Option            	Vendor-Specific.3GPP2.Forward-FCH-Mux-Option
